인구이동_기점,인구이동_종점,0세_19세 일평균 외부유입 인구,20세_39세 일평균 외부유입 인구,40세_64세 일평균 외부유입 인구,65세 이상 일평균 외부유입 인구,남성_일평균 외부유입 인구,여성_일평균 외부유입 인구,2020년 1월_일평균 외부유입 인구,2020년 2월_일평균 외부유입 인구,2020년 3월_일평균 외부유입 인구,2020년 4월_일평균 외부유입 인구,2020년 5월_일평균 외부유입 인구,2020년 6월_일평균 외부유입 인구,2020년 7월_일평균 외부유입 인구,2020년 8월_일평균 외부유입 인구,2020년 9월_일평균 외부유입 인구,2020년 10월_일평균 외부유입 인구,2020년 11월_일평균 외부유입 인구,2020년 12월_일평균 외부유입 인구,주중_새벽(0시-6시)_일평균 외부유입 인구,주중_출근(7시-9시)_일평균 외부유입 인구,주중_주간(10시-17시)_일평균 외부유입 인구,주중_퇴근(18시-20시)_일평균 외부유입 인구,주중_야간(21시-23시)_일평균 외부유입 인구,주말_첨두시(11시-19시)_일평균 외부유입 인구,주말_비첨두시(20시-10시)_일평균 외부유입 인구,데이터기준일자
군포시,매탄3동,35.2,995.36,1094.22,45.61,564.51,1605.89,2121.73,2344.7,2210.24,2243,1989.3,2290.7,2320.18,2152.99,2200.57,1931.95,2128.08,2128.42,123.57,537.02,1800.66,182.24,119.55,322.21,355.19,2021-11-30
군포시,매탄4동,1.65,44.7,33.64,1.54,30.9,50.62,161.98,103.94,69.09,64.91,111.8,62.12,80.91,50.53,65.18,72.56,67.52,67.01,8.58,17.62,51.64,6.08,6.63,30.33,28.44,2021-11-30
군포시,서둔동,61.03,824.15,906.76,54.77,855.89,990.81,1944.01,1573.67,1485.44,1873.13,1951.38,2117.18,1983.23,1741.25,1750.64,1943.93,2038.97,1752.67,111,268.16,1127.56,185.15,148.12,536.65,1326.95,2021-11-30
군포시,세류1동,9.78,96.68,67.22,15.58,86.84,102.42,260.74,235.82,234.83,202.86,208.04,184.22,170.84,147.07,126.9,156.58,179.18,164.96,20.6,28.28,96.78,23.98,22.72,75.65,105.79,2021-11-30
군포시,세류2동,27.19,199.54,345.92,34.54,223.91,383.27,647.78,485.55,645.39,631.32,618.3,869.06,611.99,601.42,586.38,561.13,590.81,437.28,71.95,110.19,327.41,62.85,57.93,243.02,305.89,2021-11-30
군포시,세류3동,3.42,89.36,104.31,11.87,103.53,105.42,204.77,296.43,202.7,210.8,194.39,227.96,217.65,174.44,184.96,198.83,180.06,219.09,28.19,28.75,120.13,18.12,19.99,104.19,89.06,2021-11-30
군포시,송죽동,17.45,124.64,280.65,36.35,195,264.09,510.16,477.71,424.94,416.1,544.2,512.23,390.24,390.52,483.7,412.81,484.95,464.65,60.12,69.15,249.99,40.18,54.46,202.36,219.41,2021-11-30
군포시,연무동,104.96,311.13,600.83,83.13,532.67,567.38,967.57,894.07,970.27,1132.85,1251.89,1246.61,1047.63,1190.35,1326.1,1164.86,1090.56,917.33,133.79,143.49,587.15,122.73,123.61,424.13,648.92,2021-11-30
군포시,영통1동,35.42,79.01,116.37,28.75,98.06,161.49,323.59,261.91,268.91,175.62,270.04,235.83,225.43,281.46,260.04,218.85,330.8,261.09,33.37,44.27,150.59,22.44,24.9,107.73,111.46,2021-11-30
군포시,영통2동,19.8,469.8,384.93,23.17,303.96,593.73,942.57,975.69,912.93,953.56,849.5,1091.65,1008.43,841.29,823.38,800.46,821.68,759.35,56.16,168.94,622.83,100.05,86.25,242.11,311.6,2021-11-30
군포시,영통3동,61.96,458.38,389.24,44.9,368.46,586.03,999.86,1011.89,922.79,971.21,964.42,937.91,930.81,1048.52,948.77,923.85,1044.04,756.12,102,132.43,553.68,117.1,140.13,330.28,395.33,2021-11-30
군포시,영화동,67.83,405.06,681.46,42.55,524.73,672.18,1308.01,1223.65,1287.7,1103.56,1230.18,1475.53,1211.27,1118.91,1210.63,1105.76,1140.01,953.97,109.25,193.81,817.19,113.58,106.92,360.72,473.82,2021-11-30
군포시,우만1동,52.92,209.99,404.85,34.09,247.27,454.59,770.01,836.49,806.14,641.62,702.28,649.19,706.3,623.52,619.64,681.68,818.5,573.03,64.92,122.65,417.7,69.18,68.3,244.93,353.88,2021-11-30
군포시,우만2동,21.28,151.66,161.9,10.61,133.1,212.36,348.96,354.27,288.13,417.39,312.79,334.82,375.51,303.62,320.03,401.27,349.08,341.54,42.92,54.33,203.96,29.03,33.01,151.89,148.74,2021-11-30
군포시,원천동,53.13,766.28,749.88,66.72,663.75,972.26,1999.61,1742.98,1546.78,1694.13,1500.11,1760.88,1608.19,1395.87,1384.19,1540.68,1629.12,1834.06,174.68,309.42,1128.71,142.42,153.92,474.9,473.01,2021-11-30
군포시,율천동,301.18,1370.43,1505.33,186.28,1617.65,1745.57,3841.04,3731.91,3411.32,3247.19,3221.6,3220.16,3066.66,2936.98,3568.24,3420.73,3605.93,3116.78,314.38,502.13,1931.96,406.45,436.12,1170.43,1618.85,2021-11-30
군포시,인계동,61.93,1498.38,1258.61,81.21,1263.05,1637.08,3356.61,3209.37,2659.24,2852.19,2885.09,3122.22,2818.04,2695.09,2618.06,3014.63,2926.66,2661.77,238.8,422.4,1805.3,261.29,303.3,1270.78,1299.43,2021-11-30
군포시,입북동,131.58,621.11,1066.08,141.75,810.46,1150.07,1914.34,1824.78,2028.53,2052.53,1973.95,2005.04,1948.39,1980.24,2023.99,1734.52,2284.35,1763.87,259.28,275.81,962.85,215.49,249.73,865.66,1088.26,2021-11-30
군포시,정자1동,27.5,214.03,334.17,59.65,246.19,389.16,711.35,631.43,620.59,636.82,585.38,716.43,695.49,670.31,520.96,761.77,646.14,426.58,77.07,88.21,346.39,60.06,65.74,312.76,317.22,2021-11-30
