인구이동_기점,인구이동_종점,0세_19세 일평균 외부유입 인구,20세_39세 일평균 외부유입 인구,40세_64세 일평균 외부유입 인구,65세 이상 일평균 외부유입 인구,남성_일평균 외부유입 인구,여성_일평균 외부유입 인구,2020년 1월_일평균 외부유입 인구,2020년 2월_일평균 외부유입 인구,2020년 3월_일평균 외부유입 인구,2020년 4월_일평균 외부유입 인구,2020년 5월_일평균 외부유입 인구,2020년 6월_일평균 외부유입 인구,2020년 7월_일평균 외부유입 인구,2020년 8월_일평균 외부유입 인구,2020년 9월_일평균 외부유입 인구,2020년 10월_일평균 외부유입 인구,2020년 11월_일평균 외부유입 인구,2020년 12월_일평균 외부유입 인구,주중_새벽(0시-6시)_일평균 외부유입 인구,주중_출근(7시-9시)_일평균 외부유입 인구,주중_주간(10시-17시)_일평균 외부유입 인구,주중_퇴근(18시-20시)_일평균 외부유입 인구,주중_야간(21시-23시)_일평균 외부유입 인구,주말_첨두시(11시-19시)_일평균 외부유입 인구,주말_비첨두시(20시-10시)_일평균 외부유입 인구,데이터기준일자
가평군,고등동,1.93,8.85,16.4,0.75,9.57,18.36,24.9,19.01,20.25,15.29,22.22,27.04,16.81,40.83,17.8,59.3,30.92,27.03,5.29,1.97,7.84,2.07,3.36,20.96,10.29,2021-11-30
가평군,곡선동,2.82,15.79,24.19,3.79,15.97,30.62,82.04,61.34,11.86,38.97,46.87,39.84,35.39,54.53,23.52,58.99,52.38,36.33,12.04,5.06,12.37,3.97,7.57,24.81,19.26,2021-11-30
가평군,광교1동,29.65,24.55,48.83,4.83,46.95,60.9,156.2,60.18,36.25,77.33,94.02,112.08,201.96,98.83,101.9,95.18,127.92,128.94,18.11,11.67,48.25,9.45,14.01,67.7,56.17,2021-11-30
가평군,광교2동,2.69,9.94,20.07,4.84,13.91,23.63,29.63,15.3,21.62,39.74,37.01,61.39,60.51,41.24,20.59,20.7,26.44,68.22,7.98,4.64,13.72,3.06,4.29,21.07,18.25,2021-11-30
가평군,구운동,5.86,11.62,26.29,7.51,20.86,30.42,61.25,30.46,50.83,38.53,41.71,57.95,53.24,36.5,55.67,32.09,43,108.79,12.08,5.23,16.55,3.99,7.35,38.16,23.04,2021-11-30
가평군,권선1동,6.88,34.59,31.41,8.7,33.58,47.99,133.9,50.76,43.9,143.39,79.58,29.52,117.84,87.18,45.95,79.9,110.57,51.06,20.79,8.7,27.29,6.54,13.21,54.62,35.74,2021-11-30
가평군,권선2동,1.95,11.95,23.76,26.77,23.86,40.56,202.18,30.73,32.4,82.99,37.58,22.41,40.53,31.17,66.98,49.28,69.84,75.17,17.45,7.16,15.79,3.33,7.13,45.32,28.5,2021-11-30
가평군,금곡동,3.77,49.78,35.62,26.45,35.41,80.22,143.63,283.24,34.9,34.13,117.25,129.58,140.75,71.68,60.47,115.03,143.19,87.65,36.13,13.42,32.6,7.46,17.02,77.1,37.85,2021-11-30
가평군,망포1동,16.59,79.53,46.74,0.96,76.08,67.73,116.97,95.31,158.26,104.19,84.41,144.07,125.83,144.18,266.74,133.95,151.13,198.1,34.82,12.74,34.26,7.92,18.95,157.65,67.72,2021-11-30
가평군,망포2동,2.33,7.53,26.29,0.46,22.83,13.78,26.38,31.11,21.29,14.49,90.71,16.9,30.04,70.22,39.93,18.35,17.76,12.59,7.13,2.9,6.6,2.01,3.93,29.27,12.44,2021-11-30
가평군,매교동,0.5,10.28,13.33,4.81,17.89,11.02,10,90.5,44.95,36.8,29.08,9.93,11.8,9.94,18.72,8.85,12.77,12.78,4.7,2.17,6.85,1.05,2.17,16.27,7.78,2021-11-30
가평군,매산동,12.83,51.3,35.84,11.31,39.07,72.21,194.57,95.13,41.93,64.64,151.75,77.11,98.66,163.82,98.73,117.69,117.23,102.06,18.14,8.24,42.78,11.43,20.24,65.41,67.93,2021-11-30
가평군,매탄1동,25.7,17.13,6.73,0.88,5.61,44.83,88.54,22.95,33.74,21.57,27.06,19.48,23.54,123.61,68.95,29.36,41.26,53.39,10.82,4.57,9.69,2.16,4.72,28.09,15.04,2021-11-30
가평군,매탄2동,17.51,28.9,47.23,2.48,27.67,68.45,103.49,39.79,57.15,56.7,133.1,72.53,76.12,135.84,75.87,130.04,86.84,164.66,22.72,10.27,27.24,5.8,11.48,75.32,56.55,2021-11-30
가평군,매탄3동,3.51,22.25,24.67,1.58,19.23,32.78,48.28,34.15,19.8,125.45,92.4,60.3,22.34,19.16,59.16,63.28,24.62,35.96,10.97,7.44,21.37,4.09,6.34,25.11,20.4,2021-11-30
가평군,매탄4동,1.25,33.94,2.99,0.16,1.45,36.89,24.79,48.62,52.85,28.23,40.43,9.3,36.81,73.27,50.57,10.77,30.46,13.12,5.64,2.46,6.85,1.44,2.76,10.54,6.49,2021-11-30
가평군,서둔동,12.78,14.32,31.79,16.94,38.26,37.57,53.94,51.69,120.98,52.84,111.66,91.49,50.79,35.67,105.59,91.91,57.39,81.98,18.73,9.26,30.54,5.52,10.93,36.02,33.19,2021-11-30
가평군,세류1동,4.14,23.36,14.16,0.61,27.97,14.31,39.69,9.26,6.48,5.87,56.43,18.71,36.22,38.87,10.37,64.67,86.43,41.55,7.91,3.18,8.3,2.11,4.28,28.77,13.62,2021-11-30
가평군,세류2동,1.12,13.74,36.78,1.55,16.78,36.41,67.01,31.02,10.67,42.8,36.44,42.46,31.45,58.29,57.2,110.33,75.42,53.67,16.46,5.24,14.97,3.52,7.94,34.61,18.52,2021-11-30
가평군,세류3동,14.48,11.28,18.29,0.26,16.49,27.81,76.67,14.53,17.64,16.36,49.38,20.98,19.01,10.4,38.79,82.94,86.4,33.3,9.56,3.06,10.78,2.77,5.36,22.59,15.11,2021-11-30
가평군,송죽동,1.29,14.74,13.61,14.12,23.48,20.28,38.99,39.58,12.69,15.58,36.97,40.8,51.53,70.68,41.56,30.74,74.93,53.68,13.31,4.39,8.12,1.62,4.56,36.73,13.94,2021-11-30
가평군,연무동,0.99,14.17,16.96,8.34,18.6,21.86,77.33,49.3,11.08,46.07,62.81,37.39,28.28,17.49,71.31,21.18,21.4,24.59,8.72,4.64,13.15,2.77,5.15,21.06,16.7,2021-11-30
가평군,영통1동,1.06,10.51,25.48,6,9.83,33.22,42.44,31.13,29.12,43.23,46.44,32.59,44.15,36.14,82.53,42.61,44.49,34.68,5.62,2.1,5.8,2.42,5.43,56.91,18.42,2021-11-30
가평군,영통2동,1.41,15.93,26.88,0.55,12.21,32.56,65.62,125.4,25.26,23.77,35.54,28.5,22.31,32.26,53.77,54.25,24.55,36.48,7.87,3.59,10.77,2.92,5.79,41.61,25.93,2021-11-30
가평군,영통3동,3.25,41.53,34.79,1.08,19.07,61.58,59.46,206.62,73.19,38.39,52.35,77.39,76.7,157.05,72.37,52.71,48.41,53.14,14.47,6.69,24.77,7.6,13.33,56.88,53.84,2021-11-30
가평군,영화동,13.17,14.96,21.68,14.74,21.02,43.53,26.45,47.23,44.83,49.96,66.85,102.33,56.69,50.76,103.47,57.86,81.78,83.77,14.74,5.64,19.01,4.86,9.71,52.28,33.98,2021-11-30
가평군,우만1동,6.71,20.44,26.85,1.57,9.49,46.08,49.13,58.62,42.99,64.83,36.35,35.7,98.29,36.85,34.84,41.19,82.15,85.25,16.21,6.03,16.41,4.52,9.21,29.32,28.42,2021-11-30
가평군,우만2동,14.52,12.22,7.07,3.45,12.68,24.58,40.67,12.65,36.56,28.83,28.28,17.85,51.34,74.76,8.95,16.28,47.53,62.84,8.41,3.78,9.43,2.15,4.38,24.37,12.2,2021-11-30
가평군,원천동,24.44,41.2,43.87,14.28,46.93,76.85,129.54,93.79,142.51,118.76,87.63,98.33,114.38,141.32,85.21,152.23,227.39,91.6,32.76,15.29,42.38,9.68,19.64,81.95,49.64,2021-11-30
가평군,율천동,31.54,43.71,30.04,8.8,32.24,81.85,186.28,113.44,33.71,37.31,56.25,129.69,90.29,127.28,209.02,59.46,156.51,174.19,27.16,12.73,39.65,10.05,21.22,72.96,48.29,2021-11-30
가평군,인계동,12.74,68.64,73.35,11.65,41.09,125.29,234.63,216.61,112.28,155.75,230.04,106.07,220.37,175.4,111.37,137.37,203.93,93.16,42.84,18.09,52.98,12.97,27.35,120.84,76.15,2021-11-30
가평군,입북동,0.64,12.22,13.52,13.95,21.22,19.11,43.39,33.01,26.19,34.98,52.25,27.11,61.17,25.99,21.18,37.12,75.72,43.21,10.07,4.59,11.32,2.86,5.89,33.17,15.82,2021-11-30
가평군,정자1동,0.41,28.82,16.08,11.98,12.32,44.96,70.22,32.04,48.04,64.54,45.85,34.32,42.13,38,124.28,65.97,40.96,66.58,11.78,5.08,12.51,3.11,7.62,43.37,24.67,2021-11-30
가평군,정자2동,3.7,18.18,14.74,19.05,41.64,14.03,91.53,59.07,30.38,41.62,16.24,37.66,31.44,25.98,50.05,42.11,60.37,143.25,14.76,5.74,15.74,3.96,8.21,27.92,17.11,2021-11-30
가평군,정자3동,19.44,21.41,21.39,4.54,24.38,42.4,145.06,33.51,24.4,124.18,43.52,58.81,33.58,61.58,74.23,72.75,56.47,46.9,19.31,7.61,19.18,4.7,10.1,33.34,23.19,2021-11-30
가평군,조원1동,11,30.8,22.15,3.49,30.09,37.35,85.85,119.12,52.07,125.07,37.54,73.01,47.25,60.87,45.86,50.35,47.69,68.46,15.93,8,20.99,4.45,8.23,51.58,36.77,2021-11-30
가평군,조원2동,0.76,5.45,6.61,1.16,4.96,9.03,27.16,13.57,6.8,12.25,10.72,15.42,10.16,10,26.78,11.16,13.34,5.95,1.13,0.9,4.47,0.77,1.12,4.41,7.39,2021-11-30
가평군,지동,0.35,10.92,17.89,3.66,4.84,27.97,35.22,18.46,21.56,17.2,15.46,16.44,30.59,8.98,10.37,32.58,120.15,14.67,6.88,2.43,6.43,1.43,3.51,19.44,9.52,2021-11-30
가평군,파장동,1.61,27.37,24.97,4.11,15.23,42.83,114.15,84.54,42.5,26.25,31,30.73,51.1,48.45,55.27,45.56,118.17,47.59,15.33,7.25,21.13,4.24,8.44,33.35,25.01,2021-11-30
가평군,평동,3.22,24.41,22.77,12.23,15.81,46.81,173.75,37.88,32.87,27.18,96.59,47.37,49.16,47.67,74.66,85.78,40.51,23.12,12.88,6.72,22.97,4.97,9.01,40.31,28.58,2021-11-30
가평군,행궁동,5.33,11.55,21.96,5.68,9,35.53,53.92,52.22,67.11,58.18,78.29,46.89,22.21,49.43,29.87,26.22,35.08,12.89,5.54,2.48,13.14,3.33,4.7,35.46,35.75,2021-11-30
가평군,호매실동,0.21,10.05,23.35,1.88,14.31,21.18,52.59,52.83,14.04,25.76,27.17,33.16,33.06,12.55,16.11,13.77,85.62,29.3,4.7,2.89,8.71,2.94,4.68,17.72,16.21,2021-11-30
가평군,화서1동,0.35,15.16,59.46,3.3,42.61,35.66,97.82,60.78,94.73,50.31,53.53,54.24,61.19,52.92,62.92,90,121.28,119.17,21.36,6.69,15.31,4.47,10.92,67,38.61,2021-11-30
가평군,화서2동,0.91,44.14,21.04,1.14,26.76,40.47,45.25,67.33,129.45,26.21,35.98,83.23,50.68,88.01,88.41,49.09,95.73,37.34,15.11,5.46,15.22,4.26,9.5,60.76,38.71,2021-11-30
강원도,고등동,17.07,187.82,145.43,10.59,122.88,238.03,448.65,299.41,350.73,236.89,517.93,383.93,230.67,292.5,398.28,399.06,372.24,394.9,89.96,43.9,119.86,25.83,50.5,265.48,173.15,2021-11-30
강원도,곡선동,101.08,440.88,363.14,84.46,415.6,573.96,1263.51,1078.6,813.27,749.95,852.19,1095.76,779.35,793.3,1026.75,1346.33,1098.37,983.53,277.41,115.5,301.11,77.01,158.49,728.22,412.63,2021-11-30
강원도,광교1동,200.47,753.1,730.84,191.75,813.67,1062.48,2491.82,1593.62,1299.17,2044.28,2242.54,1728.34,1895.07,1578.75,2066.7,2196.25,1980.33,1388.87,356.51,215.51,734.94,169.52,254.82,1163.24,1077.83,2021-11-30
강원도,광교2동,61.56,307.06,295.9,50.95,271.91,443.56,978.01,742.45,509.11,577.28,732.51,631.23,706.1,656.35,969.61,742.32,795.03,551,151.62,89.65,269.27,59.31,95.03,470.35,372.56,2021-11-30
강원도,구운동,48.49,409.78,399.61,67.89,308.7,617.07,1424.74,875.69,711.51,610.86,755.02,812.48,904.24,880.04,929.48,1171.64,1084.2,937.45,258.68,96.94,256.56,67.2,141.95,764.21,424.64,2021-11-30
강원도,권선1동,79.77,723.12,822.2,152.96,768.67,1009.38,2416.29,1714.95,1061.52,1655.01,1767.53,1600.47,1540.26,1741.73,1945,2334.34,1919.73,1635.96,453.69,196.31,558.88,136.79,276.79,1351.42,818.61,2021-11-30
강원도,권선2동,99.34,467.59,399.72,128.1,493.68,601.06,1441.9,865.13,935.92,929.2,1028.52,881.09,1211.42,973.25,944.45,1426.01,1234.59,1238.03,286.14,116.46,324.59,80.95,162.64,845.41,561.61,2021-11-30
강원도,금곡동,122.84,679.31,543.87,177.14,627.65,895.51,2235.33,1742.23,1148.16,1322.23,1406.84,1446.15,1491.25,1592.2,1135.55,1756.92,1580.61,1414.92,434.71,176.04,443.32,108.76,237.53,1192.45,640.09,2021-11-30
강원도,망포1동,128.64,596.66,494.48,56.85,488.11,788.53,1878.71,1410.57,1270.71,1075.02,1054.93,981.28,1144.76,1321.54,1338.04,1192.1,1239.47,1405.92,344.98,132.57,353.68,94.98,203.27,1050.86,596.51,2021-11-30
강원도,망포2동,40.53,249.27,168.44,28.71,183.71,303.23,543.97,421.95,357.4,458.6,399.65,505.02,444.59,675.9,644.88,411.89,477.83,501.89,141.81,55.94,120.94,28.65,69.62,447.98,215.29,2021-11-30
강원도,매교동,18.84,58.43,74.93,28.97,54.46,126.71,207.49,178.2,67.76,218.4,158.41,159.22,208.16,119.54,112.75,300.6,189.49,252.35,46.87,20.78,62.76,15.03,30.2,118.96,76.11,2021-11-30
강원도,매산동,174.8,960.21,464.38,48.16,519.75,1127.8,2580.33,1540.91,981.31,1196.27,1686.41,1736.17,1715.16,1624.09,1359.93,2065.57,2014.42,1254,326.31,133.49,562.76,167.22,283.06,1109.11,978.56,2021-11-30
강원도,매탄1동,49.79,174.18,134.08,23.14,187.54,193.65,484.29,286.54,384.36,296.88,362.63,272.85,396.12,308.49,621.65,452.45,380.86,322.61,112.77,42.94,93.66,23.14,58.62,346.28,161.05,2021-11-30
강원도,매탄2동,94.38,722.86,496.06,122.6,595.18,840.72,1982.36,1557.47,1065.17,1041.33,1443.74,1260.93,1372.44,1382.15,1295.26,1593.53,1509.89,1713.89,379.69,160.54,421.53,103.72,211.8,1140,695.51,2021-11-30
강원도,매탄3동,60.78,500.69,336.06,105.11,357.19,645.46,1484.73,1122.48,786.15,899.01,952.16,882.74,997.77,1148.06,1032.01,981.67,969.35,776.02,265.24,117.53,332.56,79.42,161.37,706.07,413.8,2021-11-30
강원도,매탄4동,14.12,116.12,101.05,22.08,73.94,179.43,383.13,267.1,235.52,105.91,233.2,148.3,286.28,210.19,291.54,264.28,317.73,293.28,79.48,30.62,66.22,16.35,38.15,215.5,94.68,2021-11-30
강원도,서둔동,60.34,383.72,407.8,61.61,268.77,644.7,1224.25,880.93,892.92,548.66,921.77,747.47,876.43,876.88,780.88,945.67,1411.04,847.28,190.87,89.81,310.68,69.14,124.14,671.5,566.51,2021-11-30
강원도,세류1동,18.4,117.41,80.92,22.26,71.99,167.01,303.05,154.33,215.94,179.42,251.89,253.38,266.86,257.29,146.73,336.02,240.8,252.34,56.72,23.98,81.43,19.95,37.31,164.62,123.76,2021-11-30
강원도,세류2동,59.86,375.78,430.2,70.05,265.31,670.58,1257.42,729.33,588.83,750.16,866.78,768.28,859.61,1893.46,860.35,1064.95,967.29,598.05,244.11,102.28,321,71.64,137.55,627.04,458.28,2021-11-30
강원도,세류3동,36.15,231.72,263.21,60.88,220.71,371.26,761.96,486.82,435.61,425.88,638.36,584.45,645.24,694.38,519.38,715.84,690.36,493.82,177.08,69.68,166.82,40.62,90.65,467.76,242.95,2021-11-30
강원도,송죽동,26.94,258.88,208.01,44.81,174.78,363.87,852.41,563.82,476.25,304.17,554.84,507.89,467.7,465.86,693.17,515.86,584.25,477.07,168.82,61.97,133.32,33.35,81.21,469.78,219.99,2021-11-30
강원도,연무동,78.88,340.72,390.31,69.65,311.4,568.17,1035.96,1065.79,844.71,1055.97,1014.8,1045.86,594.15,585.16,784.31,1147.76,737.6,658.17,256.35,103.61,281.45,66.66,131.7,586.28,393.57,2021-11-30
강원도,영통1동,56.72,323.94,273.54,52.51,243.61,463.1,1400.75,575.46,708.66,562.26,539.33,633.26,556.45,1081.94,542.24,694.04,688.68,476.04,188.28,78.01,192.59,45.59,103.4,609.07,346.63,2021-11-30
강원도,영통2동,55.86,338.35,225.94,32.98,263.91,389.22,1157.78,853.73,677.55,534.73,612.94,659.85,460.99,810.03,590.49,544.11,616.15,325.23,144.25,65.58,213.43,57.2,107.06,474.29,344.07,2021-11-30
강원도,영통3동,159.39,904.48,492.12,104.12,618.04,1042.07,2113.08,1851.13,1210.12,1233.08,1837.22,1872.5,1391.48,1663.51,1483.67,2090.59,1743.47,1433.88,420.95,165.93,502.42,143.64,290.76,1243,760.77,2021-11-30
강원도,영화동,99.94,451.21,566.51,69.96,459.62,728.01,1305.02,746.99,910.25,1249.8,1323.99,1044.81,1223.17,1226.06,1276.82,1537.87,1394.55,990.69,320.58,125.82,349.22,88.28,188.62,955.57,522.03,2021-11-30
강원도,우만1동,35.28,392.98,427.45,69.49,362.15,563.04,1394.34,978.05,1092.45,840.51,770.7,833.03,855.82,688.58,899.17,1184.48,931.66,630.54,240.04,109.11,298.73,73.85,143.34,596.58,480.05,2021-11-30
강원도,우만2동,43.47,236.57,225.69,57.07,204.31,358.51,851.97,456.77,534.67,651.03,563.28,551.15,414.95,511.16,667.12,471.35,542.45,536.22,172.87,62.19,155.88,40.09,90.12,429.62,238.15,2021-11-30
강원도,원천동,160.53,716.13,573.59,114.19,595.23,969.21,1798.65,1538.34,1402.25,1319.33,1504.63,1815.24,1480.65,1472.4,1861.13,1965.75,1399.35,1218.36,377.7,202.02,553.63,119.15,237.99,1083.56,667.2,2021-11-30
강원도,율천동,264.17,870.74,515.78,123.68,612.69,1161.68,4074.58,1375.4,1353.27,1368.77,1613.84,1408.08,1410.26,1265.69,2221.95,1984.18,1738.73,1440.39,476,198.48,550.35,146.54,300.68,1281.8,750.35,2021-11-30
강원도,인계동,155.94,1499.14,939.58,130.32,1011.9,1713.07,4314.6,2869.55,2291.16,2116.27,2982.98,2636.12,2531.48,2408.73,2077.72,3034.26,3204.88,2213.32,661.01,267.95,798.99,214.71,456.6,2216.62,1328.86,2021-11-30
강원도,입북동,36.48,121.8,165.78,23.1,111.99,235.18,616.72,202.54,168.37,305.16,302.99,352.2,367.59,364.8,363.84,452.87,336.71,321.85,82.74,37.3,101.78,26.02,50.54,283.07,186.97,2021-11-30
강원도,정자1동,72.6,367.61,283.2,22.13,242.47,503.08,1329.71,608.45,522.26,684.35,898.11,608.45,590.52,665.51,672.17,744.96,828.71,778.47,214.88,82.83,201.68,52.17,114.84,619.58,325.36,2021-11-30
강원도,정자2동,43.52,288.78,280.01,55.13,250.26,417.18,789.61,572.6,427.57,589.39,682.67,602.14,676.25,614.73,584.74,988.31,751.72,718.78,199.11,77.18,183.2,47.48,105.12,536.21,270.63,2021-11-30
강원도,정자3동,144.09,388.42,342.47,84.36,318.14,641.21,1743.08,746.5,1047.05,964.44,1167.68,656.37,789.78,1033.15,822.62,1044.76,881.09,585.34,239.03,94.96,271.79,71.18,152.23,805.36,481.88,2021-11-30
강원도,조원1동,82.42,515.22,497.78,80.99,438.19,738.21,1380.32,1181.54,1114.46,1161.67,1244.03,985.74,1287.32,1185.42,1083.08,1289.15,1078.72,1112.96,294.47,123.32,323.69,86.13,183.53,1017.33,575.39,2021-11-30
강원도,조원2동,22.91,152.46,127.15,23.69,116.87,209.34,443.65,265.96,306.24,186.46,297,355.37,359.01,382.82,398.95,330.52,357.32,227.12,59.73,29.24,118.75,31.82,55.24,208.84,196.54,2021-11-30
강원도,지동,8.27,134.8,236.97,43.38,182.45,240.97,663.45,342.42,438.39,301.5,370.76,436.88,310.24,353.69,379.07,573.97,498.38,404.55,124.15,55.3,139.43,30.68,65.03,280.05,165.62,2021-11-30
강원도,파장동,101.05,540.97,506.47,97.05,439,806.54,1935.46,1145.4,867.79,1280.74,1532.2,981.26,1084.73,1325.73,1042.66,1224.04,1343.22,1166.09,293.84,139.46,399.24,94.2,181.44,952.3,639.32,2021-11-30
강원도,평동,139.99,462.33,505.77,76.1,377.92,806.26,1326.05,1403.62,995.85,1010.12,1359.91,1233.81,981.94,1111.13,1022.39,1187.85,1252.8,1331.88,306.29,133.29,397.45,93.48,188.63,820.84,527.2,2021-11-30
강원도,행궁동,61.77,240,338.68,74.52,285.47,429.5,1045.37,697.6,534.91,458.7,758.29,584.21,620.2,673.61,665.99,1002.09,863.01,665.2,142.2,60.53,269.78,66.36,111.6,440.34,437.13,2021-11-30
강원도,호매실동,36.75,208.88,206.74,48.04,183.33,317.08,736.35,473.6,437.45,513.85,446.48,517.77,499.18,496.62,386.1,559.79,629.58,307.83,127.38,53.01,142.41,39.43,83.09,398.78,240.38,2021-11-30
강원도,화서1동,68.27,257.98,293.76,55.31,259.62,415.71,685.24,711.03,916.2,544.49,651.44,400.76,672.96,724.98,632.72,769.71,769.3,615.97,185.57,80.16,202.97,48.48,104.83,506.55,303.07,2021-11-30
강원도,화서2동,63.97,317.7,359.14,74.75,266.57,548.99,1137.74,624.66,547.35,770.74,946.25,853.03,633.31,692.21,728.05,899.55,807.69,1130.5,200.2,87.48,239.98,62.99,128.08,644.01,415.47,2021-11-30
경상남도,고등동,19.17,82.64,97.39,4.89,69.94,134.15,220.23,143.43,124.4,132.5,336.29,260.65,206.27,299.62,186.07,173.51,219.6,141.99,66.34,23.9,52.2,13.9,31.72,156.57,87.89,2021-11-30
경상남도,곡선동,27.71,210.28,242.55,25.59,237.39,268.73,509.35,352.12,762.11,589.61,440.3,529.4,479.7,575.86,440.55,437.6,441.56,504.64,138.45,56.55,149.59,36.94,78.39,405.68,216.84,2021-11-30
경상남도,광교1동,160.38,331.33,510.97,82.6,476.43,608.84,1380.49,979.16,776.26,1336.14,1280.98,1181.2,962.9,943.83,1063.69,1525.43,987.79,605.91,226.51,115.26,362.37,89.77,165.14,811.27,591.99,2021-11-30
경상남도,광교2동,36.02,120.62,219.95,52.63,205.24,223.98,596.89,401.52,415.69,430.59,450.98,368.36,473.07,393.67,298.65,566.23,514.19,235.63,113.05,52.76,128.7,30.73,64.32,322.83,206.29,2021-11-30
경상남도,구운동,36.5,159.89,244.7,43.09,196.57,287.62,615.08,507.55,459.94,476.65,587.67,384.15,297.48,563.52,430.81,437.2,609.71,440.85,148.63,49.96,127.15,38.03,84.38,365.67,209.3,2021-11-30
경상남도,권선1동,59.58,378.32,342.11,60.51,363.83,476.69,1057.55,1184.82,407.11,667.63,754.02,647.58,619.32,1076.05,759.83,939.09,1051.85,935.93,226.23,91.3,228.97,62.68,134.1,688.75,396.72,2021-11-30
경상남도,권선2동,42.13,114.57,186.51,38.64,195.83,186.02,583.84,403.9,315.25,578.27,316.73,420.92,366.92,274.52,311.9,382.37,350.21,283.1,91.33,36.29,117.32,31.87,60.99,287.71,205.12,2021-11-30
경상남도,금곡동,48.24,172.4,286.07,89.89,260.69,335.92,939.84,503.85,668.38,448.86,803.89,515.48,501.39,521.96,417.6,440.58,789.33,595.21,153.31,65.96,167.44,41.41,89.03,522.11,274.64,2021-11-30
경상남도,망포1동,51.06,197.03,268.96,78.87,262.15,333.76,1241.45,611.01,639.75,541.37,596.67,455.2,391.55,500.08,419.83,528.16,659.17,557.73,156.6,58.61,151,46.45,100.96,532.33,270.89,2021-11-30
경상남도,망포2동,15.01,68.44,110.92,25.33,97.41,122.29,251.9,203.19,273.61,196.02,262.93,143.25,142.38,271.85,265.22,252.75,169.27,199.54,58.83,24.19,58.51,15.2,34.22,197.09,95.04,2021-11-30
경상남도,매교동,4.45,40.54,48.54,1.43,39.73,55.24,84.7,36.53,97.33,62.39,144.39,24.56,177.93,105.31,94.19,53.72,143,102.25,25.18,11.42,31.76,6.6,13.36,64.95,40.35,2021-11-30
경상남도,매산동,72.76,405.79,325.9,35.96,314.69,525.71,1210.98,897.17,743.24,582.03,908.49,792.44,660.19,1025.41,768.64,1042.89,1064.68,387.45,187.19,73.77,258.32,75.65,137.06,606.46,507.08,2021-11-30
경상남도,매탄1동,5.03,69.25,81.36,8.3,64.45,99.5,191.61,151.61,142.17,117.51,239.5,175.15,179.59,162.32,159.66,175.79,124.96,144.14,48.04,18.26,39.72,10.93,25.18,148.58,70.32,2021-11-30
경상남도,매탄2동,45.62,331.17,389.53,71.98,392.17,446.14,1303.31,1094.59,651.42,830.83,743.56,734.5,868.34,696,652.93,1120.49,724.29,642.72,226.55,85.64,225.63,59.37,130.79,729.89,386.36,2021-11-30
경상남도,매탄3동,73.99,284.7,312.5,44.77,277.95,438.01,1063.44,785.52,790.69,759.35,980.88,420.85,510.25,742.69,422.5,679.3,703.52,719.01,184.27,81.97,217.33,50.57,108.18,589.99,311.49,2021-11-30
경상남도,매탄4동,22.54,43.72,53.89,3.96,29.12,94.99,90.86,81.14,141.95,73.94,86.49,113.43,142.1,99.36,221.52,133.68,93.65,208.72,37.04,16.36,33.17,7.4,16.88,105.69,51.87,2021-11-30
경상남도,서둔동,42.2,139.61,223.41,34.12,166.39,272.94,788.05,356.38,326.24,295.95,495.06,499.57,511.67,425.41,305.16,447.25,505.2,305.87,106.07,45.75,145.68,36.92,67.27,294.46,239.72,2021-11-30
경상남도,세류1동,5,35.71,45.94,17.53,46.83,57.36,197.57,82.99,57.31,21.67,118.36,57.49,71.72,102.09,136.53,162.5,99.39,135.26,25.83,10.52,35.25,7.65,15.77,73.31,52.96,2021-11-30
경상남도,세류2동,40.92,205.96,243.08,13.65,168.04,335.56,780.09,437.63,429.93,488.34,602.45,316.14,528.27,677.22,444,468.04,464.52,392.65,145.26,52.17,153.35,39.78,81.39,346.34,237,2021-11-30
경상남도,세류3동,6.54,49.07,84.36,10.67,86.11,64.54,221.39,193.25,117.71,45.37,128.2,101.53,108.16,119.95,144.09,288.69,258.18,81.53,42.26,15.91,40.54,11.58,24.06,121.23,68.99,2021-11-30
경상남도,송죽동,26.66,54.51,69.81,27.3,92.08,86.2,286.37,207.5,159.27,291.83,244.55,140.92,97.52,217.32,83.59,123.88,195.54,86.79,60.02,21.44,42.17,10.18,26.17,153.17,67.77,2021-11-30
경상남도,연무동,16.15,184.31,148.85,12.46,139.58,222.19,338.95,390.65,455.15,429.36,437.69,408.24,199.59,460.34,305.53,477.22,199.47,237.49,106.1,41.23,103.88,27.04,57.74,263.36,163.32,2021-11-30
경상남도,영통1동,18.1,82.13,182.66,22.59,116.33,189.16,342.98,321.7,330.65,314.52,463.36,242.95,356.45,261.91,135.24,401.54,231.84,254.12,79.04,30.06,68.63,19.58,48.24,307.72,148.74,2021-11-30
경상남도,영통2동,13.02,143.41,183.9,34.7,189.42,185.62,519.49,383.2,343.8,299.76,470.59,419.11,281.88,342.79,232.28,363.13,456.26,385.65,91.12,37.7,112.16,30.93,63.25,295.72,179.74,2021-11-30
경상남도,영통3동,137.2,603.63,406.13,40.71,557.87,629.8,953.22,1216.61,1145,1385.12,1299.74,1674.81,919.64,1281.04,1096.88,1289.34,1058.21,949.3,334.37,120.99,317.56,100.85,208.76,927.79,524.77,2021-11-30
경상남도,영화동,74.57,163.49,240.03,28.15,268.18,238.06,546.15,358.88,485.98,491.34,598.47,413.03,428.69,663.17,396.93,780.04,513.6,382.36,141.87,58.15,144.36,38.64,82.2,397.2,212.4,2021-11-30
